uid,translated_text,stereotype
29,"Peter (B23) is een muzikant en muziekeditor die zijn MacBook Pro en een gespecialiseerde applicatie (mainstage) heeft gebruikt om ""The Sounds of Pro -toetsenborden zoals Roland RD Piano's en synths te emuleren tijdens het spelen"".",1
30,"Bovendien meldde de patiënt dat zijn 8-jarige dochter griepachtige symptomen ontwikkelde met een hoogwaardige koorts (40,7 c/105 F) $ 1 week na zijn eerste symptomen.",0
31,"Een lage waarschijnlijkheid van de patiënt die haar eigen immuunrespons vormde, werd het argument voor het starten van therapie met hyperimmune SARS-COV-2 herstelplasma in combinatie met andere therapeutische opties, ondanks het ontbreken van gepubliceerde gegevens over vergelijkbare ervaringen in het pediatrische cohort.",0
32,We gebruiken genetische gegevens van dit kind en zijn gezin om te illustreren hoe uitgebreide genetische profilering ook kan helpen bij de karakterisering van 16p11.2 microdeletion -syndroom.,1
33,"Na de vierde dosis IVIG kon de patiënt zijn ogen sluiten, fronsen, zijn tanden laten zien en glimlachen.",0
34,"Deze twee hebben misschien geen sociaal contact in de normale situatie, maar wanneer knooppunt J (de student) ziek is, kan ze mogelijk infectie doorgeven aan knooppunt I (de verpleegkundige);En dit is het contact dat belangrijk is voor het doel van epidemische modellering.",1
35,De patiënt ging zonder symptomen naar huis en volgde haar vitalen tweemaal daags na ontvangst van een bevestiging van een positieve RT-QPCR (kwantitatieve reverse transcriptie polymerasekettingreactie) resultaat.,0
36,"In de volgende 24 uur ondervond de patiënt een klinisch onvoorspelbare dramatische verslechtering van zijn klinische toestand vanwege het begin van ernstige ademnood ondanks adequate zuurstoftoevoer (PAO2/FIO2 = 88 mmHg, ademhalingssnelheid hoger dan 35 ademhalingen per minuut).",0
37,De auteur verklaart dat zij geen belangenconflict heeft,1
38,Met beperkte middelen zal de student beperkt zijn in het uitvoeren van zijn eigen studie.,-1
39,"7.Wanneer de geïnfecteerde persoon dit of een ander medicijn van dergelijke natuur heeft toegepast, wordt hij in een warm bed gelegd, gemaakt met zachte vellen en goed bedekt met mantels, tot de bedoeling dat hij daar drie of vier uur of langer kan zweten,Volgens zijn kracht, en wanneer dit betekent dat ze hem nauwelijks konden uitlokken om te zweten, legden ze Tyles verwarmd bij het vuur, wat zou kunnen, vanwege hun buitengewone hitte.",-1
40,De auteur verklaart dat hij geen belangenconflict heeft en geen financiële steun.,-1
41,"De Sowetan (2019d) rapporteerde over een leraar die werd gearresteerd voor het uitwisselen van pornografisch materiaal met een 14-jarige leerling met wie hij een relatie had (Sowetan 2019d), en de Cape Argus (2019) meldde dat een plaatsvervangend directeur vanEen basisschool werd geschorst na aantijgingen dat hij verschillende meisjes 7 -meisjes heeft misbruikt.",-1
42,"Farrell, legeragent, liet zijn plaats schoten voordat hij er zelf iets van wist, en Capt.",-1
43,"Ingraham, voorheen een nuttige officier van de nationale marine, die zijn vlag had verlaten en zijn diensten aan de samenzweerders had gegeven.",1
44,"Hun commandant is er trots op hen dit rechtvaardige eerbetoon van lof te geven, en hij is ook trots om zijn overtuiging te uiten dat elkaar regiment van zijn brigade waardig is, en, als de omstandigheden was toegestaan, gelijke lof zouden hebben gewonnen.",1
45,"Hij liep geen risico bij het leggen van een bevel op zijn vriend en scheepsbouwer, dat geen schepen, onder zijn constructie, in handen van de geconfedereerde regering zouden moeten passeren.",0
46,"Wright, de jonge professor van een westerse universiteit, die zijn plaats had verloren door zijn gedurfde belangenbehartiging van vrijheid, met een blik van een scherpe concentratie, in overeenstemming met een intellect als een damascus -mes, keek de procedure nauw door zijn bril, die de zijne opendemond alleen om rechtstreeks met het doel te spreken....",1
47,"Hij lijkt, volgens de getuigenis van vriend en vijand, een buitengewoon slechte man te zijn geweest;wreed van zijn aard;weerzinwekkend in kenmerken;onbeleefd op manieren;en fout en profane in spraak.",0
48,"Toen deze persoon als kind nog niet had laten zien wat voor soort man hij zou zijn, kwam hij in de buurt van overhandigd aan de elf die de officieren die werden aangesteld om veroordeelde criminelen uit te voeren.",-1
49,"Hij werd gedwongen om zijn gevangenen te laten vallen en vangt, en sneed zich een weg naar buiten, verloor ongeveer vijfhonderd officieren en mannen, waaronder een meest waardevolle officier, kolonel Harrison, die, toen hij zijn mannen te voet als schermutselaars vecht, werd overwonnen en gevangen genomen, en is nu bij Macon.",1
50,"In ieder geval vertelde Philotas, de arts van Amphissa, mijn grootvader, Lampria's, dat hij op dit moment in Alexandrië was, zijn beroep bestudeerde, en dat hij goed bekend was met een van de koninklijke koks, hij gemakkelijk werd overgehaald doorHem (jongeman die hij was) om een kijkje te nemen op de extravagante voorbereidingen voor een koninklijk avondmaal.",1
51,"De schrijver is zich er volledig van bewust dat hij op een wandelende manier heeft geschreven, en voor een dergelijke overtreding pleit hij in verzachting van de natuurlijke tijd - geëerd privilege die vriendelijk wordt verleend tot leeftijd en de herinnerbare periode.",-1
52,Kind en zijn begaafde vrouw.,1
53,"De partner gebaarde naar twee van het ontzag - getroffen door standers, en de vuurvaste matroos was snel opgesloten en presenteerde zijn kale rug voor zijn straf, zonder enige weerstand te bieden.",1
54,"Toen hij een vriend bezocht, werd hij uitgenodigd om een ​​drankje te nemen, maar weigerde, op de score van zijn belofte;Toen zijn vriend limonade voorstelde, die werd geaccepteerd.",0
55,"Ik vertrouw op niemand, die, Rich Zelf, buitengewoon beleefd is voor een arme man;Wanneer hij zijn hand met een vriendelijke lucht uitstrekt, laadt hij je dan met wat schade.",-1
56,"Lytle, de Zuidelijke fotograaf, die het grote oude vlaggenschip en haar partner in oorlog had gefotografeerd - nam ook deze foto van haar toen ze als een vredige bezoeker kwam.",-1
58,"Hij viel op die post, vlag in de hand, op 17 juni 1864 glorieus, terwijl zijn regiment werd teruggedrongen en zijn dappere majoor, Hill, een arm verloor in het redden van zijn persoon en zijn vlag van de vijand.",-1
59,"Terwijl de oude dokter onlangs over zijn verraad sprak, ging Bang een kanon, en het volgende moment werd de whizz en een crash gehoord, als een boom - top viel in zijn gazon.",1
60,"Hij was een 'boerjongen', vlakte op zijn manieren, en het meest bescheiden in zijn verlangens;Maar er woonde in zijn mannelijke, trouwe vorm als stout een hart als ooit stierf voor Liberty;Maar toch een hart zo teder, zo aanhankelijk!",1
61,"De instelling om van het leger van de Potomac te worden gedaan, was een van de eerste onderwerpen waar de aandacht van de generaal - in - Chief werd opgeroepen bij zijn aankomst in Washington;En om de toestand ervan voor zichzelf te observeren, bracht hij een bezoek aan de landing van Harrison, waardoor Washington op 24 juli verliet en op 27 juli terugkeerde.",1
62,"Voor de grote kwaliteiten van zijn vriend en medewerker van vele jaren was de historische naam die hij draagt, en laat ons nieuwe moed nemen als we denken aan welke deugden het karakter en het leven van enkele van onze openbare mannen nog steeds waardig zijn.",0
63,De redacteur werd vrijgelaten op zijn voorwaardelijke eer om niet te vertrekken of te proberen zijn pers te verwijderen.,1
64,"(d. 1837), een arts in New England, die naar New York verhuisde en zich vestigde als boekhandelaar.",1
65,"In beide beursvelden - Chaucer en de ballad - liet het kind talloze discipelen achter;En naast de erfenis van een vaste hoeveelheid materiaal dat klaar is om als vertrekpunt te worden opgevat, liet hij de materialen achter voor een zeer levendige en nog steeds zeer actieve controverse bij Ballad Origins, waarin het echter onmogelijk is om hierheen te gaan.",1
66,"Hij werd een paar dagen geleden in de buurt van deze plek gevangen genomen door een bewaker van zijn bedrijf en werd in hechtenis gehouden om in dienst te worden genomen, en hij solliciteerde voor deze writ tegen zijn kapitein, bewerend dat hij niet zonder in dienst zou worden genomen zonder in dienst te worden genomenZijn toestemming, waarvan hij dacht dat hij zich zou terugtrekken nadat hij ontdekte dat het bedrijf moest gaan.",1
67,"Kort daarna liet een koerier me weten dat kolonel Chilton me vooraan wilde zien, aan de Darbytown Road, en dat hij werd gestuurd om me naar hem te leiden.",1
68,"Het kan niet toetreden tot het Mad Project of Disunion, waarvan u de eerste slachtoffers zou zijn - de eerste magistraat kan niet, als hij de uitvoering van zijn plicht zou vermijden - het gevolg moet angstig voor u zijn, verontrustendAan je kerel - burgers hier, en de vrienden van goede regering over de hele wereld.",1
69,"Bestellingen waren, de mannen van zijn leger, zijn achterhoede of zijn achterblijvers, brachten het vuur aan en dat dit een voldoende reden was voor al het andere dat volgde.",1
70,"C. Curio, van wie we zo vaak hebben gehoord, de leerling en vriend van Cicero, van wie hij zulke hoge dingen hoopte, had zichzelf geruïneerd door zijn extravagante begrafeniswedstrijden, en tijdens zijn kantoorjaar werd gewonnen aan de zijde van Caesardoor door hem te worden opgelucht van zijn enorme schulden.",0
71,"Een persoon, wiens naam we niet weten - en in feite weten we niets van zijn antecedenten, behalve dat hij uit Baltimore kwam - werd verliefd op de charmes van een jonge dame, een actrice in het theater, wiens naam we onderdrukken, van oorzaken die duidelijk moeten zijn voor elke recht - minded persoon.",-1
72,"De chauffeur was echter een lompe kerel en let niet op hem, maar reed zijn team mee.",1
73,"Maar net zoals ik de woorden uitsprak, zag ik een matroos in de bovenste galerij over de reling springen, zichzelf van de ene laag naar de andere liet vallen, totdat hij vrij hoor over het orkest en voetlichten, en zichzelf in een oogwenk naast me plaatste.'",1
74,15.Wat was er nog meer waarin een man van hoge geboorte en een vooraanstaande advocaat eerder zijn inferioriteit zou toegeven?,1
75,", het zal worden herinnerd, werd gearresteerd op beschuldiging van samenzwering met twee negers om hun meester te vermoorden, maar omdat negerbewijs niet kon worden genomen, werd hij gegeven tot - dag om zijn Goochland -eigendom te verwijderen, wanneer hij naar deWest door een sterke bewaker en beval nooit meer terug te keren.",1
76,Op onderzoek - want hij was van plan om in de stad niet langer een officier in dienst te nemen die zijn bevelen had geschonden - hij stelde vast dat de klacht in deze wijze is.,1
77,"Toen de boot naast kwam, was de oude kapitein bevrijd van zijn ergste vrees, in plaats van dat zijn achtervolger een piraat was, was ze alleen de Alabama, en hoewel hem werd verteld dat zijn schip 's ochtends zou worden verbrand, en dat al zijn wereldse goederenZou in een rookwolk omhoog gaan, hij bedankte God dat het niet erger was.",1
78,"Het kind van Nieuw -Zeeland en zijn gezin ""werd gepubliceerd in 1970.",1
79,Voormalig hoofdgitarist Roger Johnson werkt momenteel samen met zijn vrouw in het publiceren.,1
80,"Tijdens zijn 4Music # Hangout legde hij uit dat de kapper die die dag zijn haar sneed alleen Engels sprak en het niet kon lezen of schrijven, en dus was hij in feite een foto aan de achterkant van Ronsons hoofd.",1
81,"Toen Somerset -aanvoerder Jamie Cox zijn duim brak, nam Burns de leiding over het team voor zes wedstrijden in juni en juli 2001, een rol die hij het volgende seizoen voor acht wedstrijden herhaalde.",1
82,"Op 1 december schreef Harvard -bibliothecaris John Langdon Sibley in zijn dagboek: ""De status van Dr. Webster, zijn uniforme gedrag van gedrag sinds de verdwijning van Dr. Parkman, zijn kunstloosheid en onbekendheid met de misdaad van welke aard dan ook zoopwinding, de melancholie, de ontelbaarheid van elk lichaam zijn niet te beschrijven.",-1
83,"Voor zijn werk met jeugdvoetbal werd hoofdcoach Kerry Shubert genoemd 2008 """,1
84,"Rice geloofde dat de zanger zou passen in de titelrol, omdat ze ""prachtig door muziek kon handelen"".",-1
85,"Op 22 maart vloog een piloot van de vrije Libische luchtmacht, kolonel Fakhri Alsalabi, zijn jet in Bab Al Azizia in een schijnbare zelfmoordmissie, wat uitgebreide schade veroorzaakte en leidde tot geruchten over de dood van Khamis Gaddafi, die later bewezen was te hebbenoverleefde ongedeerd.",1
86,Elk kind en elke man had zijn uiterste best om bij te dragen aan overleven.,1
87,"Haar portret hing in veel saloons in Virginia City en auteur Rex Beach vereeuwigde haar als ""Cherry Malotte"" in zijn roman ""The Spoilers"".",-1
88,"In 1912 trad hij ook toe tot de raad van bestuur van de Banca Commerciale Italiana en in 1915, toen de toenmalige directeur Otto Joel uit zijn positie werd verwijderd vanwege zijn Duitse oorsprong, die onverenigbaar waren met het nationalistische klimaat na de Italiaanse toegang tot de Italiaanse toegang tot de eerste Italiaanse toegang tot de eerste Italiaanse toegangWereldoorlog werd hij vervangen door Fenoglio zelf samen met Giuseppe TEPLITZ.",1
89,"Een tweede videoclip voor het nummer werd uitgebracht op 17 maart 2014, met de zanger die feesten met haar vrienden in een Zweedse club.",-1
90,"Volgens Cioculescu: ""Dit is tenslotte de enige plaats waar de auteur zijn volledig gerechtvaardigde filologische trots onthult.""",-1
91,"In december 1959 bezocht de hertog van Edinburgh Saunders - Roe in East Cowes en overtuigde de belangrijkste test - Piloot, commandant Peter Lamb, om hem de controles van de Sr.N1 te laten overnemen.",1
92,"Hij zegt dat als iemand het bestaan alleen zou onderzoeken in termen van de mensheid, die persoon het kwaad kan observeren om het goede te domineren, maar als iemand naar het hele universum kijkt, dan ziet hij dat goed aanzienlijk vaker voorkomt dan kwaad (gids 3:12).",-1
93,"KANSAS - Born Political Writer Thomas Frank citeerde teksten uit hun nummer ""Sex Drive"" in zijn bestseller 2004 -boek ""What's the Matter With Kansas?"".",-1
94,"Er is enig bewijs dat deze twee goden werden beschouwd als aspecten van een enkel wezen, zoals wanneer een zanger in de vraagt waar hij naartoe kan gaan, """" (""zij, God, staan dubbel"").",1
95,"Proost - maar als u een bericht citeert, moet u niet impliceren dat de redacteur heeft geschreven wat hij heeft geciteerd uit een betrouwbare bron!",1
96,"Leraren die passende literatuur selecteren voor hun klasbehoeften, kunnen een kind een ""personage in een verhaal bieden om het kind te helpen zichzelf in de klas te begrijpen en een geleide discussie, stelt studenten in staat"" zich bewust te worden van problemen van andere kinderen en empathie te ontwikkelen "".",1
97,"Een ""Matai"" (chef) werd uit zijn dorp verdreven voor verdenking van het aanschaffen van prostituees voor de Amerikanen.",1
98,"Hoewel in tegenstelling tot dit, maakt een andere biograaf, Kavi Karnapura, in zijn ""Krishna Chaitanya Chartamritam Maha - Vakyam"", geschreven in Sanskriet in 1542, geen expliciete verwijzingen naar de islam, en bij het verwijzen naar de beroemde Saint Haridasa, de auteur spreekt nietvan zijn afkomst.",-1
99,"De e -mailer stuurde de e -mails door naar het Federal Bureau of Investigation om de bedreigingen te melden, en Kasowitz heeft vervolgens een verklaring afgegeven waarin stond: ""De persoon die die e -mail stuurt, heeft recht op zijn mening, en ik had niet op die ongepaste manier moeten reageren ...",-1
100,"In juni 2011 zei de nieuwe Fulham -manager Martin Jol dat hij Stockdale wilde lenen om een regelmatige reeks games te krijgen, maar was niet van plan de speler te verkopen.",1
101,"Cora en Edith vormen een verhaal om haar vader Robert te vertellen, dat de varkensboer samen met zijn eigen kinderen niet financieel voor dit kind kan zorgen, en Edith vraagt Robert of Marigold haar 'afdeling' kan worden.",1
102,"Morelli was enorm invloedrijk in de kunst van de tweede helft van de 19e eeuw, zowel als directeur van de Accademia di Belle Arti in Napels, maar ook vanwege zijn rebellie tegen instellingen: eigenschappen die bloeiden in de gepassioneerde, vaak patriottische, romantische en laterSymbolistische onderwerpen van zijn doeken.",1
103,"Na zijn eerste nationale titel Pierre Berbizier, hoofdcoach van de nationale team, belde Marcato in de ploeg en debuteerde in juli 2006 tegen Japan:",1
104,De plot volgt een geheime agent (Smith) die per ongeluk wordt omgezet in een duif door een intelligente jonge wetenschapper (Holland);De twee moeten dan samenwerken om een wraak te stoppen - op zoek naar cybernetische terrorist en de agent terug te brengen naar zijn menselijke vorm.,-1
105,"Elke zeeman had zijn eigen bed, dus er was geen hete bunking.",1
106,"In een overlijdensadvertentie, â € œ Een vriend schreef over haar vele prestaties, allemaal gemaakt met haar â € œ gemakkelijke pen en vruchtbare hersenen.â €",0
107,"De Duitse zangeres Mary Roos bedekte het lied in haar taal als ""In Gedanken"" (""in Thought"").",-1
108,Andrew Shanu (1858 - juli 1905) was een Afrikaanse fotograaf opgemerkt vanwege zijn betrokkenheid bij de campagne tegen onmenselijke misbruiken in de Vrijstaat van Congo.,1
109,"Voormalig Dallas -manager en president van Umph Lovick Pierce zei inderdaad terwijl hij zijn functie in 1970 verliet, ""zoals de verkoop van Cokesbury gaat, zo gaat de uitgeverij"".",1
110,"De taal is gemaakt door Steve DeKorte in 2002, nadat hij probeerde een vriend, Dru Nelson, te helpen met zijn taal, Cel.",0
111,"Lawrence ""Jack"" Imel (9 juni 1932 - 30 april 2017) was een Amerikaanse muzikant, danser, zanger en televisieproducent die het best bekend staat om zijn werk aan ""The Lawrence Welk Show"".",1
112,"Als de producent van dit bedrog bracht hem tot een soort leiderschap, zoals hij zichzelf commentaar gaf.",1
113,Marilyn Minter (geboren 1948) is een Amerikaanse beeldend kunstenaar die misschien het best bekend staat om haar sensuele schilderijen en foto's die zijn gemaakt in de fotorealisme -stijl die de lijn tussen commerciële en beeldende kunst vervaagt.,-1
114,"Smith, de Kennedy Family Business Manager en ""Master Fixer"", legde zich neer op het feit dat de politieke schade was aangericht, en de kans van Kennedy om voor president te lopen bij het volgende beschikbare venster, 1972, was verdwenen.",1
115,"Ze telde onder haar grootouders James McKeen Cattell, een invloedrijke psycholoog en academicus.",1
116,"Dat een jonge, fit en gezond persoon gewoon zijn been kon breken zoals deze leek de artsen in het ziekenhuis onwaarschijnlijk.",-1
117,"Ze stelden de spread -aanval in, die Elway had opgepikt van de middelbare schoolcoach van zijn zoon John, Jack Neumeier.",1
118,"Nick, een Australische rugbycoach die uitlegt dat hij een ander soort festival verwachtte;Een vrouwelijke journalistenvriend stelde hem voor om hier te komen terwijl ze hier zou zijn om een verhaal over het festival te schrijven.",0
119,"Mannen en vrouwen, trouw en ijverig, liefdevol en waardig om geliefd te zijn, en dragen, kan het niet meer zijn dan een bijna onmerkbaar spoor van Afrikaanse afkomst, nog langer zal blijven verbannen uit de sociale maaltijd van de blanke man, enom af te wijzen van zijn aanwezigheid in het Huis van God, omdat een schrijver van genialiteit het gewicht van zijn gezag en zijn roem, zo niet van zijn macht, heeft geleend tot de bestendiging van een vooroordeel dat het christendom ondermijnde.",-1
120,"In 1876 stelt de Amerikaanse civiel ingenieur Richard Sears McCulloh, in zijn ""Treatise on the Mechanical Theory of Heat en de toepassing ervan op de stoommotor"", een vroege thermodynamische leerboek, stelt, na te hebben gesproken over de wetten van de fysieke wereld, dat""Er zijn er geen die op steviger basis zijn vastgesteld dan de twee algemene stellingen van Joule en Carnot; die de fundamentele wetten van ons onderwerp vormen.""",1
121,"In 1963 werd Towers gecast in een ondersteunende rol in de experimentele thriller ""Shock Corridor"" van Samuel Fuller (1963), die het verhaal vertelt van een journalist die zich in een psychiatrisch ziekenhuis verbindt om een moord op te lossen.",-1
122,Na zijn afstuderen studeerde de jonge kunstenaar schilderen aan de Royal München -academie.,1
123,"Noch de kapitein, noch zijn passagiers konden hun reis voltooien.",1
124,"Hij vertrok echter in januari 2007 als de nieuwe senior manager, Steve McClaren, wilde dat de rol van Engeland U -21 manager een volledige functie zou zijn.",1
125,"De kunstenaar zelf verwijst naar deze werken als video's in plaats van GIF -animaties ""omdat ze oorspronkelijk videowerken zijn [tentoongesteld] in videoformaat [â € ¦],"" legt uit, """,1
126,"Rogers Smith (geboren op 20 september 1953) is een Amerikaanse politieke wetenschapper en auteur opgemerkt voor zijn onderzoek en schrijven over de Amerikaanse constitutionele en politieke ontwikkeling en politiek denken, met een focus op kwesties van burgerschap en raciale, geslacht en klassenongelijkheid.",1
127,"Bassist, Vanessa Thornton, heeft sindsdien verklaard dat ze niet tevreden was met Sony's promotie van het vorige titelloze album van de band;Een geschiedenis die destijds ook de manager van de band betrof.",-1
128,Publicaties over de kunstenaar en zijn werk omvatten een supplement in het literaire tijdschrift PÃ © Ã ± OLA in 1981 en een retrospectief van zijn tekening in het Art Magazine Varia in 1984.,1
129,"In 1857 ging Savage naar Washington, waar hij de belangrijkste schrijver van leider werd in het Staten Journal.",-1
130,"Eén patiënt, bij wie de katheter na 2 weken werd losgekoppeld, werd asymptomatisch, maar hij had een resterende pseudocyst van 2 cm pancreas die de komende 6 weken oploste.",0
131,"James Herriot, de best verkopende auteur van meer dan 60 miljoen exemplaren van boeken over zijn ervaringen van ongeveer 50 jaar als dierenarts in Thirsk, North Yorkshire, de stad die hij in zijn boeken (hoewel geboren in Sunderland) noemt, is Darrowby geweest.Behield voor zijn gemakkelijke leesstijl en interessante personages.",-1
132,De productieontwerper Don Homfray won een BAFTA voor zijn werk aan de serie.,1
133,We beschrijven een patiënt die in haar tweede trimester de diagnose Goodpasture -syndroom kreeg.,0
134,"Nathaniel Ward, een puriteinse geestelijke en auteur, werd in 1648 minister van de Shenfield Church en bekleedde dat ambt tot zijn dood in 1652.",-1
135,"Toen ze aankwamen, werd onthuld dat een patiënt in het ziekenhuis zich met een aansteker in brand had gestoken.",0
136,"In de film introduceert een jonge jachtpiloot het nummer in zijn squadron en krijgt zo de bijnaam ""The Dark Girl"".",1
137,Op 22 november wordt een middelbare scholier in Dallas door zijn leraar natuurkunde gestuurd naar de Texas School Book Depository om een kopie van de bevindingen van Bernstein te krijgen.,-1
138,"""Chiderah Monde van"" New York Daily News ""beschreef de video als"" een rechtstreeks - vooruitspanprofiel van de kunstenaar zelf.""",-1
139,"Lange tijd Juilliard School Professor of Voice Lucia Dunham, die vele andere beroemde zangers trainde, was ook een van haar leerlingen.",-1
140,"Het was erg belangrijk om de diagnose van mannen 2-A te stellen, omdat we de patiënt en zijn gezin kunnen introduceren aan een programma van screening om de aanwezigheid van de typische tekenen van deze pathologie vroegtijdig uit te schakelen.",0
141,Eagles -gitarist Joe Walsh speelt het nummer op zijn solo -tours.,1
142,"Leonard, gespeeld door producer Randall Winston, is de bewaker van het ziekenhuis die gemakkelijk herkenbaar is dankzij zijn lengte, gigantische Afro en de haak die hij in plaats van zijn rechterhand heeft.",1
143,"Kunstenaar Michael Craig - Martin, maker van ""An Oak Tree"", zei over zijn werk - het is geen symbool.",1
144,"De patiënt had een langdurige postoperatieve cursus, maar hij herstelde zich uiteindelijk goed van deze operaties.",0
145,"Ze centreren zich op de filosofische Thaise boeddhistische detective, Sonchai Jitleecheep, en zijn meditatieve interne dialogen.",1
146,E Patiënt werd mechanisch geventileerd en verdoofd van haar initiële laparotomie voorafgaand aan de overdracht.,0
147,"Met machines zo defect, is het alleen maar verrassend dat de schrijver zijn taak zo goed heeft voltooid als hij heeft gedaan.",-1
148,"Zoals Green heeft opgemerkt, hoopte de auteur waarschijnlijk op een breed publiek, want hij merkte op dat vrouwen buiten het Alpen geen toegang zouden hebben tot de spa's die Italiaanse vrouwen deden en daarom instructies opgenomen voor een alternatief stoombad.",-1
149,Een egoïstische operazanger verlaat zijn vrouw en thuis in Duitsland om de grote steden van de wereld te reizen.,1
150,Op de gesneden site van 1985 brak een student zijn heup en in 1989 verloor een andere student twee vingers toen logboeken zijn hand verpletterden.,-1
151,"""Valori Plastici"" werd opgericht in Rome door de schilder en kunstverzamelaar Mario Broglio en zijn vrouw Edita Broglio in 1918.",1
152,De mariniers observeerden de middelbare schoolstudent voor verborgenheid terwijl hij de geiten van zijn familie in de buurt van hun ranch verzorgde.,-1
